Name,Tradition
Adam,Abrahamic
Jesus,Abrahamic
Cihuacoatl,Aztec
Huītzilōpōchtli,Aztec
Dewi Sri,Balinese
Leyak,Balinese
Anat,Canaanite
Horon,Canaanite
Baimei Shen,Chinese
Chun Kwan,Chinese
Dragon King,Chinese
Guan Yu,Chinese
Jade Emperor,Chinese
Mingong,Chinese
Tianhuang Emperor,Chinese
Tubo,Chinese
Wufang Guidi,Chinese
Yanluo Wang,Chinese
Zhao Yun,Chinese
Zhuge Liang,Chinese
Amu-Aa,Egyptian
Bastet,Egyptian
Bes,Egyptian
Duau,Egyptian
Hapi,Egyptian
Igai,Egyptian
Isis,Egyptian
Maat,Egyptian
Nebnerou,Egyptian
Set,Egyptian
Hariasa,Germanic
Holda,Germanic
Academus,Greek
Acte,Greek
Aeneas,Greek
Amechania,Greek
Anatole,Greek
Apollo,Greek
Arae,Greek
Artemis,Greek
Castor and Pollux,Greek
Circe,Greek
Deipneus,Greek
Eumenides,Greek
Eurybarus,Greek
Hecate,Greek
Hector,Greek
Mesembria,Greek
Mesthles,Greek
Pan,Greek
Pepromene,Greek
Persephone (Kore),Greek
Phaenon,Greek
Rhapso,Greek
Themis,Greek
Zeus,Greek
Ardhanarishvara,Hindu
Phra Kalachai Si,Hindu
Apkallu,Mesopotamian
Aruru,Mesopotamian
Freyr,Norse
Groa,Norse
Hel,Norse
Odin,Norse
Dea Viriplaca,Roman
Diana,Roman
Dies,Roman
Faustitas,Roman
Juno,Roman
Orbona,Roman
Palatua,Roman
Tellus,Roman
Venus Verticordia,Roman
Virgin goddess,Roman
Amaterasu,Shinto
Amenohoakari,Shinto
Benzaiten,Shinto
Kunitama,Shinto
Mikogami,Shinto
Ukemochi,Shinto
