Name,Tradition
Chicomecoatl,Aztec
Tezcatlipoca,Aztec
Xochipilli,Aztec
Xochiquetzal,Aztec
Tara,Buddhist
Vajrapani,Buddhist
Brigid,Celtic
Ernmas,Celtic
Chiyou,Chinese
Fuxi,Chinese
Guan Sheng,Chinese
Old Man of the South Pole,Chinese
Patriarch Ching Chwee,Chinese
Poh Seng Tai Tay,Chinese
San Yisheng,Chinese
Sun Wukong,Chinese
Wudao Jiangjun,Chinese
Xuanwu,Chinese
Zhang Fei,Chinese
Zhao Qi,Chinese
Geb,Egyptian
Henet,Egyptian
Irer,Egyptian
Kolanthes,Egyptian
Osiris,Egyptian
Ra,Egyptian
Repyt,Egyptian
Shesmetet,Egyptian
Sobek,Egyptian
Thoth,Egyptian
Barbelo,Gnostic
Sophia,Gnostic
Acratopotes,Greek
Adephagia,Greek
Aphrodite,Greek
Asclepius,Greek
Auge,Greek
Cadmus,Greek
Ceraon,Greek
Dionysus,Greek
Epactaeus,Greek
Eulabeia,Greek
Eunostus,Greek
Gaia,Greek
Hephaestus,Greek
Hera,Greek
Hermes,Greek
Musica,Greek
Nemesis,Greek
Paean,Greek
Peitharchia,Greek
Pyrrhichos,Greek
Sostratus of Dyme,Greek
Sphinx,Greek
Theseus,Greek
Troilus,Greek
Rivers in Hinduism,Hindu
Shakti,Hindu
Annar,Norse
Freyja,Norse
Loki,Norse
Nepr,Norse
Attis,Phrygian
Sabazios,Phrygian
Africa,Roman
Antevorta,Roman
Anthelioi,Roman
Epona,Roman
Ferentina,Roman
Fortuna,Roman
Minerva,Roman
Pellonia,Roman
Pomona,Roman
Venus,Roman
Arahitogami,Shinto
Hitorigami,Shinto
Suijin,Shinto
Tengu,Shinto
Tenjin,Shinto
Ujigami,Shinto
