Name,Tradition
Cihuatecayotl,Aztec
Quetzalcoatl,Aztec
Tláloc,Aztec
Tlazolteotl,Aztec
Baal,Canaanite
Moloch,Canaanite
Anextlomarus,Celtic
The Dagda,Celtic
Ao Guang,Chinese
Deng Zhong,Chinese
Emperor Yi of Chu,Chinese
General Baokeng,Chinese
Lu Xiong,Chinese
Nezha,Chinese
Pangu,Chinese
Qingxu Daode Zhenjun,Chinese
Shennong,Chinese
Three Great Emperor-Officials,Chinese
Xiaoziye,Chinese
Yue Fei,Chinese
Abaset,Egyptian
Atum,Egyptian
Ba-pef,Egyptian
Hathor,Egyptian
Heka,Egyptian
Iabet,Egyptian
Nebtuwi,Egyptian
Nut,Egyptian
Resheph,Egyptian
Shemanefer,Egyptian
Achilles,Greek
Angelia,Greek
Aoös,Greek
Arctus,Greek
Chrysus,Greek
Demeter,Greek
DionysusBacchus,Greek
Elete,Greek
Eos,Greek
Epidotes,Greek
Eukarpia,Greek
Gaea,Greek
Gorgon,Greek
Gymnastica,Greek
Helios,Greek
Heracles,Greek
Muses,Greek
Myiagros,Greek
Nyx,Greek
Pasikrata,Greek
Planē,Greek
Semachos,Greek
Seven against Thebes,Greek
Silenus,Greek
Durga,Hindu
Village deities of South India,Hindu
Tammuz,Mesopotamian
Tiamat,Mesopotamian
Draugr,Norse
Glenr,Norse
Lýtir,Norse
Thor,Norse
Agenoria,Roman
Domiduca,Roman
Luna,Roman
Proserpina,Roman
Psyche,Roman
Roma,Roman
Sentinus deus,Roman
Strenua,Roman
Vallonia,Roman
Vesta,Roman
Ame-no-ohabari,Shinto
Hoderi,Shinto
Inari Ōkami,Shinto
Isetsuhiko,Shinto
Kikurihime-no-Kami,Shinto
Takeminakata,Shinto
Yamato Takeru,Shinto
Yashimajinumi,Shinto
