group	member1	member2	action
Eight Immortals	Lu Dongbin	Cao Guojiu	CREATED
Eight Immortals	Lu Dongbin	Lan Caihe	CREATED
Eight Immortals	Lu Dongbin	He Xiangu	CREATED
Eight Immortals	Lu Dongbin	Zhongli Quan	CREATED
Eight Immortals	Lu Dongbin	Han Xiangzi	CREATED
Eight Immortals	Lu Dongbin	Zhang Guolao	CREATED
Eight Immortals	Lu Dongbin	Li Tieguai	CREATED
Eight Immortals	Cao Guojiu	Lan Caihe	CREATED
Eight Immortals	Cao Guojiu	He Xiangu	CREATED
Eight Immortals	Cao Guojiu	Zhongli Quan	CREATED
Eight Immortals	Cao Guojiu	Han Xiangzi	CREATED
Eight Immortals	Cao Guojiu	Zhang Guolao	CREATED
Eight Immortals	Cao Guojiu	Li Tieguai	CREATED
Eight Immortals	Lan Caihe	He Xiangu	CREATED
Eight Immortals	Lan Caihe	Zhongli Quan	CREATED
Eight Immortals	Lan Caihe	Han Xiangzi	CREATED
Eight Immortals	Lan Caihe	Zhang Guolao	CREATED
Eight Immortals	Lan Caihe	Li Tieguai	CREATED
Eight Immortals	He Xiangu	Zhongli Quan	CREATED
Eight Immortals	He Xiangu	Han Xiangzi	CREATED
Eight Immortals	He Xiangu	Zhang Guolao	CREATED
Eight Immortals	He Xiangu	Li Tieguai	CREATED
Eight Immortals	Zhongli Quan	Han Xiangzi	CREATED
Eight Immortals	Zhongli Quan	Zhang Guolao	CREATED
Eight Immortals	Zhongli Quan	Li Tieguai	CREATED
Eight Immortals	Han Xiangzi	Zhang Guolao	CREATED
Eight Immortals	Han Xiangzi	Li Tieguai	CREATED
Eight Immortals	Zhang Guolao	Li Tieguai	CREATED
Three Pure Ones	Yuanshi Tianzun	Lingbao Tianzun	CREATED
Three Pure Ones	Yuanshi Tianzun	Daode Tianzun	CREATED
Three Pure Ones	Lingbao Tianzun	Daode Tianzun	CREATED
Three Sovereigns	Fuxi	Shennong	CREATED
Three Sovereigns	Fuxi	Nuwa	CREATED
Three Sovereigns	Fuxi	Huangdi	CREATED
Three Sovereigns	Shennong	Nuwa	CREATED
Three Sovereigns	Shennong	Huangdi	CREATED
Three Sovereigns	Nuwa	Huangdi	CREATED
Seven Lucky Gods	Ebisu	Daikokuten	CREATED
Seven Lucky Gods	Ebisu	Bishamonten	CREATED
Seven Lucky Gods	Ebisu	Benzaiten	CREATED
Seven Lucky Gods	Ebisu	Fukurokuju	CREATED
Seven Lucky Gods	Ebisu	Jurojin	CREATED
Seven Lucky Gods	Ebisu	Hotei	CREATED
Seven Lucky Gods	Daikokuten	Bishamonten	CREATED
Seven Lucky Gods	Daikokuten	Benzaiten	CREATED
Seven Lucky Gods	Daikokuten	Fukurokuju	CREATED
Seven Lucky Gods	Daikokuten	Jurojin	CREATED
Seven Lucky Gods	Daikokuten	Hotei	CREATED
