id	name	field	before	after
7415	Ebisu	birthTypes	["syncretic (Hiruko-or-Kotoshironushi origin)"]	["syncretic-import"]
7415	Ebisu	eventTypes	["Hiruko-or-Kotoshironushi syncretism","fishing-patronage","merchant-prosperity","Shichifukujin-membership"]	["Hiruko-or-Kotoshironushi syncretism","fishing-patronage","merchant-prosperity"]
6786	Nerthus	birthTypes	["earth-mother goddess"]	["primordial"]
6634	Zhurong	birthTypes	["primordial fire-deity; in some accounts descendant of Zhuanxu"]	["primordial"]
6100	Tiamat	deathTypes	["killed in combat","transformation at death"]	["killed in battle","transformation"]
7229	Agdistis	birthTypes	["born androgynous from the seed of Zeus fallen on the rock"]	["miraculous birth"]
7506	Vairocana	birthTypes	["primordial Buddha; the embodiment of reality itself"]	["primordial"]
7427	Tartarus	birthTypes	["uncreated; one of the first primordials"]	["primordial"]
6101	Valkyrie	birthTypes	["divine or elevated mortal"]	["divine parentage"]
7518	Ix Chel	birthTypes	["Maya goddess"]	["divine parentage"]
7524	Vucub-Came	birthTypes	["lord of the underworld"]	["divine parentage"]
7345	Azazel	birthTypes	["angelic"]	["angelic — created"]
7350	Leviathan	birthTypes	["primordial monster — created on the fifth day (rabbinic)"]	["primordial"]
6767	Lilith	birthTypes	["created from earth simultaneously with Adam"]	["primordial emergence"]
7287	Mary	birthTypes	["mortal","immaculate conception (Catholic dogma)","traditional miraculous conception (Protoevangelium)"]	["mortal","miraculous conception"]
7287	Mary	deathTypes	["Dormition (Eastern tradition)","Assumption (Catholic dogma)","silent in NT"]	["apotheosis","silent in NT"]
6254	Satan	birthTypes	["angelic — created good, fell through pride (Christian theology)"]	["angelic — created"]
7480	Centeotl	birthTypes	["young maize personification"]	["divine parentage"]
6104	Eve	birthTypes	["fashioned from Adam"]	["primordial emergence"]
6104	Eve	deathTypes	["mortal"]	["natural death"]
7470	Chalchiuhtlicue	birthTypes	["pre-Aztec Mesoamerican origin"]	["divine parentage"]
7471	Coyolxauhqui	birthTypes	["daughter of Coatlicue"]	["divine parentage"]
7479	Itzpapalotl	birthTypes	["primordial demon-goddess"]	["primordial"]
7476	Nanahuatzin	birthTypes	["diseased god"]	["divine parentage"]
7476	Nanahuatzin	deathTypes	["self-immolation in cosmic fire (transformation)"]	["apotheosis"]
7477	Tecuciztecatl	birthTypes	["proud wealthy god"]	["divine parentage"]
7477	Tecuciztecatl	deathTypes	["transformation into moon"]	["transformation"]
7295	Kingu	deathTypes	["sacrificed","killed by god"]	["sacrificed ritually","killed by god"]
7212	Acintya	birthTypes	["the uncreated formless absolute"]	["primordial"]
7213	Barong	birthTypes	["protective beast-spirit"]	["divine parentage"]
7510	Vaisravana	birthTypes	["heavenly king; linked with the Indian Kubera"]	["divine parentage"]
7334	Kirta	birthTypes	["mortal","semi-divine"]	["mortal","demigod birth"]
7498	Cao Guojiu	birthTypes	["deified mortal (a Song-dynasty imperial relative who attained immortality)"]	["mortal-elevated to divine"]
7487	Chang'e	birthTypes	["mortal woman who became immortal by consuming the elixir"]	["mortal-elevated to divine"]
7487	Chang'e	deathTypes	["became immortal (consumed the elixir); ascended to the moon"]	["apotheosis"]
6541	Daode Tianzun	birthTypes	["emanation; manifests as the historical Laozi"]	["emanation"]
6671	Gonggong	birthTypes	["primordial water-deity"]	["primordial"]
7493	Guanyin	birthTypes	["bodhisattva; in the Miaoshan legend, born a human princess"]	["bodhisattva"]
7499	Lan Caihe	birthTypes	["deified mortal of indeterminate origin"]	["mortal-elevated to divine"]
7499	Lan Caihe	deathTypes	["ascension to immortality from a tavern"]	["apotheosis"]
7494	Lu Dongbin	birthTypes	["deified mortal (a Tang-dynasty scholar who attained immortality)"]	["mortal-elevated to divine"]
6574	Nezha	birthTypes	["born from a ball of flesh after a 3.5-year pregnancy"]	["miraculous birth"]
6650	Pangu	birthTypes	["primordial","born from cosmic egg"]	["primordial"]
6650	Pangu	deathTypes	["transformation at death"]	["transformation"]
7489	Yao	birthTypes	["sage-king"]	["mortal-elevated to divine"]
7403	Ammit	birthTypes	["cosmic-functional being"]	["divine parentage"]
6090	Hathor	birthTypes	["daughter of Ra"]	["divine parentage"]
6757	Horus	birthTypes	["posthumous conception","divine fatherhood"]	["miraculous conception","divine parentage"]
7407	Kauket	birthTypes	["primordial-uncreated"]	["primordial"]
7407	Kauket	eventTypes	["pre-cosmic-being","Ogdoad-pair-membership"]	["primordial existence","Ogdoad-pair-membership"]
6240	Mut	birthTypes	["primordial goddess (Theban tradition)"]	["primordial"]
7400	Nephthys	birthTypes	["child of Geb and Nut","born on epagomenal day"]	["divine parentage","born on epagomenal day"]
6126	Nut	birthTypes	["daughter of Shu and Tefnut"]	["divine parentage"]
6906	Ptah	birthTypes	["self-engendered"]	["primordial"]
6119	Ra	birthTypes	["self-engendered from the primordial waters"]	["primordial"]
6302	Sekhmet	birthTypes	["emanation from Ra (as Eye)"]	["emanation"]
7432	Amphitrite	birthTypes	["Nereid (daughter of Nereus and Doris)"]	["divine parentage"]
7422	Ares	birthTypes	["child of Zeus and Hera"]	["divine parentage"]
7441	Cerberus	birthTypes	["child of Typhon and Echidna"]	["divine parentage"]
7442	Chimera	birthTypes	["child of Typhon and Echidna"]	["divine parentage"]
6130	Tefnut	birthTypes	["emerged from Atum (with twin-brother Shu)"]	["primordial emergence"]
7428	Erebus	birthTypes	["emerged from Chaos"]	["primordial emergence"]
7443	Minotaur	birthTypes	["bestial-conception (Pasiphae and the Cretan bull)"]	["miraculous conception"]
7434	Nereus	birthTypes	["child of Pontus and Gaia"]	["divine parentage"]
7426	Ouranos	birthTypes	["parthenogenetic from Gaia"]	["parthenogenesis"]
7436	Tyche	birthTypes	["Oceanid (one of the 3,000)"]	["divine parentage"]
7386	Agni	birthTypes	["theogonic, primordial"]	["theogonic"]
7371	Brahma	birthTypes	["self-engendered from Viṣṇu's navel-lotus"]	["self-engendered"]
6740	Tara	birthTypes	["born from a tear of compassion of Avalokiteśvara"]	["miraculous birth"]
6132	Durga	birthTypes	["emanated from combined divine tejas"]	["emanation"]
6132	Durga	eventTypes	["emanation from divine wrath","demon-slaying","cosmic protection"]	["emanation from divine wrath","slays monster","cosmic protection"]
7375	Ganesha	birthTypes	["created from mother's body-substance"]	["born from body"]
7383	Garuda	birthTypes	["miraculous"]	["miraculous birth"]
7382	Hanuman	birthTypes	["miraculous, of wind-god parentage"]	["miraculous birth"]
6739	Kali	eventTypes	["emergence","demon-slaying","blood-drinking","cosmic battle"]	["emergence","slays monster","blood-drinking","cosmic battle"]
7377	Krishna	birthTypes	["avatar-incarnation","prison-birth"]	["avatar-incarnation","mortal parentage"]
7395	Kurma	birthTypes	["avatar-manifestation"]	["avatar-incarnation"]
7384	Nandi	birthTypes	["son of the sage Śilāda; primordial mount-of-Śiva"]	["divine parentage"]
7378	Radha	birthTypes	["cosmic-eternal"]	["primordial"]
7173	Rivers in Hinduism	birthTypes	["descent from heaven","daughter of Sūrya","cosmic river"]	["descent from heaven","divine parentage"]
6759	Shiva	birthTypes	["self-existent"]	["primordial"]
7380	Sita	birthTypes	["born from the earth"]	["primordial emergence"]
7485	Huangdi	birthTypes	["miraculous; in some accounts his mother conceived him after seeing a great flash of lightning around the Big Dipper"]	["miraculous birth"]
7485	Huangdi	deathTypes	["ascension to heaven on a dragon"]	["apotheosis"]
7391	Ushas	birthTypes	["daughter of Dyaus"]	["divine parentage"]
7519	Hunahpu	birthTypes	["conceived by the maiden Xquic, made pregnant by the spittle of the severed head of Hun Hunahpu"]	["miraculous conception"]
7519	Hunahpu	deathTypes	["killed in Xibalba and self-restored; finally raised to the sky as the sun"]	["killed by god"]
7521	Hun Hunahpu	birthTypes	["of the early divine generation of the Popol Vuh"]	["divine parentage"]
7521	Hun Hunahpu	deathTypes	["sacrificed in Xibalba; later resurrected by the Hero Twins (the maize-cycle charter)"]	["resurrection"]
7513	Kukulkan	birthTypes	["major Maya deity"]	["divine parentage"]
7318	Enkidu	birthTypes	["miraculous creation","clay-formed"]	["miraculous birth","primordial emergence"]
7322	Shahar	birthTypes	["theogonic","divine-human union"]	["theogonic","divine-human parentage"]
7323	Shalim	birthTypes	["theogonic","divine-human union"]	["theogonic","divine-human parentage"]
6784	Tammuz	deathTypes	["substitution-death","seasonal/dying-and-rising"]	["substitution-death","resurrection"]
7091	Baldr	deathTypes	["killed by mistletoe-shaft","dying-and-returning god"]	["killed by mistletoe-shaft","resurrection"]
7110	Borr	birthTypes	["primordial-divine lineage"]	["primordial"]
