field	value	count	nodes
birthTypes	self-engendered	1	Brahma
birthTypes	descent from heaven	1	Rivers in Hinduism
deathTypes	self-castration	1	Agdistis
deathTypes	imprisonment until Day of Judgment	1	Azazel
deathTypes	final fire	1	Azazel
deathTypes	defeated by YHWH (primordial)	1	Leviathan
deathTypes	silent in NT	1	Mary
deathTypes	eschatological — cast into lake of fire	1	Satan
deathTypes	dismembered by Huitzilopochtli on Coatepec	1	Coyolxauhqui
deathTypes	slain by Bellerophon riding Pegasus	1	Chimera
deathTypes	slain by Theseus in the Labyrinth	1	Minotaur
deathTypes	castrated (functionally removed from cosmic rule)	1	Ouranos
deathTypes	heel-wound by hunter's arrow	1	Krishna
deathTypes	return to earth-mother	1	Sita
deathTypes	decreed by gods	1	Enkidu
deathTypes	killed by mistletoe-shaft	1	Baldr
deathTypes	consequence of bride-price	1	Freyr
deathTypes	slain by hero (pit-ambush)	1	Fáfnir
deathTypes	murdered (dwarves)	1	Kvasir
deathTypes	beheaded	1	Mímir
deathTypes	head preserved by magic	1	Mímir
deathTypes	slain by Odin, Vili, and Vé	1	Ymir
deathTypes	cosmic dismemberment	1	Ymir
deathTypes	dismembered	1	Dionysus
deathTypes	devoured at Ragnarök	1	Máni
deathTypes	self-immolation	1	Quetzalcoatl
deathTypes	swallowed	1	Baal
deathTypes	murdered by Set (trickery-coffin or dismemberment)	1	Osiris
deathTypes	resurrected and made underworld-king	1	Osiris
deathTypes	death by divine decree	1	Moses
deathTypes	divine burial	1	Moses
deathTypes	partial defeat (returns)	1	Mot
deathTypes	parinirvāṇa (final nirvāṇa) at Kuśinagara	1	Siddhartha Gautama
deathTypes	self-castration and death beneath the pine	1	Attis
deathTypes	brought down and killed by the Hero Twins	1	Vucub Caquix
deathTypes	poisoned	1	Thor
deathTypes	executed by crucifixion	1	Jesus
deathTypes	immortality denied	1	Perseus
deathTypes	killed by boar	1	Adonis
deathTypes	killed by beast	1	Odin
deathTypes	slain by avenging brother (Váli)	1	Höðr
deathTypes	wasting away	1	Narcissus
deathTypes	taken by demons	1	Dumuzi
deathTypes	judge of the dead	1	Gilgamesh
deathTypes	self-mutilation	1	Eshmun
deathTypes	killed by goddess (via henchman)	1	Aqhat
deathTypes	divine vengeance	1	Aqhat
deathTypes	killed by Vídar at Ragnarök (jaws torn apart)	1	Fenrir
deathTypes	grief-death	1	Nanna (Norse)
deathTypes	funeral-pyre death	1	Nanna (Norse)
deathTypes	devoured by wolf Sköll at Ragnarök	1	Sól
deathTypes	self-banishment/yogic departure	1	Lakshmana
deathTypes	slain by Narasiṃha	1	Hiranyakashipu
deathTypes	slain by Durgā	1	Mahishasura
deathTypes	slain by Rāma in cosmic battle	1	Ravana
deathTypes	nightly-defeat-but-never-permanent	1	Apep
deathTypes	slain by Heracles and Iolaus (heads severed and cauterized)	1	Hydra
deathTypes	defeated by Zeus; imprisoned beneath Mount Etna	1	Typhon
deathTypes	killed by Romulus or his lieutenant	1	Remus
deathTypes	dismembered by Tzitzimitl, transformed into the maguey	1	Mayahuel
eventTypes	Hiruko-or-Kotoshironushi syncretism	1	Ebisu
eventTypes	fishing-patronage	1	Ebisu
eventTypes	merchant-prosperity	1	Ebisu
eventTypes	the Wild Hunt	1	Holda
eventTypes	seasonal transformation	1	Holda
eventTypes	reward and punishment	1	Holda
eventTypes	the-Terra-Mater-of-the-Germanic-tribes	1	Nerthus
eventTypes	the-processional-cart-and-the-season-of-peace	1	Nerthus
eventTypes	the-secret-washing-in-the-lake	1	Nerthus
eventTypes	fire-deity	1	Zhurong
eventTypes	victory-over-Gonggong	1	Zhurong
eventTypes	bringing-fire-to-humanity	1	Zhurong
eventTypes	vow-to-hear-the-cries-of-the-world	1	Avalokiteshvara
eventTypes	emanation-as-Guanyin-and-the-Dalai-Lamas	1	Avalokiteshvara
eventTypes	transformation at death	1	Tiamat
eventTypes	androgynous-birth-from-the-seed-of-Zeus	1	Agdistis
eventTypes	the-castration-by-the-gods	1	Agdistis
eventTypes	the-engendering-of-Attis-through-the-almond	1	Agdistis
eventTypes	the-driving-of-Attis-to-madness	1	Agdistis
eventTypes	sacred ritual	1	The Alcis
eventTypes	embodiment-of-the-Dharmakaya	1	Vairocana
eventTypes	centre-of-the-Five-Tathagata-mandala	1	Vairocana
eventTypes	the-cosmos-as-self-expression	1	Vairocana
eventTypes	Titan-imprisonment	1	Tartarus
eventTypes	generation-of-Typhon	1	Tartarus
eventTypes	battle-choosing	1	Valkyrie
eventTypes	mead-serving	1	Valkyrie
eventTypes	sacred betrothal (Sigrdrífa)	1	Valkyrie
eventTypes	the-vow-to-empty-the-hells	1	Ksitigarbha
eventTypes	the-past-life-vows	1	Ksitigarbha
eventTypes	the-East-Asian-development-as-Dizang-and-Jizo	1	Ksitigarbha
eventTypes	the-moon-and-childbirth-goddess	1	Ix Chel
eventTypes	the-Cozumel-pilgrimage-cult	1	Ix Chel
eventTypes	the-aged-flood-pouring-aspect	1	Ix Chel
eventTypes	co-presiding-over-the-trials	1	Vucub-Came
eventTypes	providence	1	Allah
eventTypes	serial murder	1	Asmodeus
eventTypes	kingship-substitution (Talmud)	1	Asmodeus
eventTypes	transgressive teaching	1	Azazel
eventTypes	imprisonment	1	Azazel
eventTypes	eschatological judgment	1	Azazel
eventTypes	interpretation	1	Gabriel
eventTypes	cosmic combat	1	Leviathan
eventTypes	primordial defeat	1	Leviathan
eventTypes	eschatological slaying	1	Leviathan
eventTypes	messianic feast	1	Leviathan
eventTypes	origin	1	Lilith
eventTypes	demon-binding	1	Lilith
eventTypes	virginal conception	1	Mary
eventTypes	childbirth	1	Mary
eventTypes	flight	1	Mary
eventTypes	witness to crucifixion	1	Mary
eventTypes	assumption (in Catholic tradition)	1	Mary
eventTypes	final defeat	1	Satan
eventTypes	theophany	1	YHWH
eventTypes	deliverance	1	YHWH
eventTypes	young-maize-personification	1	Centeotl
eventTypes	agricultural-festival-recipient	1	Centeotl
