id	name	field	before	after
7415	Ebisu	eventTypes	Hiruko-or-Kotoshironushi syncretism|fishing-patronage|merchant-prosperity	syncretism|patronage|merchant-prosperity
7470	Chalchiuhtlicue	eventTypes	fourth-sun-flood|baptismal-water-presidency|sister-wife-of-Tlaloc	fourth-sun-flood|presidency|sister-wife-of-Tlaloc
7471	Coyolxauhqui	deathTypes	dismembered by Huitzilopochtli on Coatepec	dismemberment|killed by god
6574	Nezha	eventTypes	birth-from-ball-of-flesh|slaying-of-the-Dragon-Kings-son|flesh-and-bones-return-to-parents|lotus-body-resurrection	birth-from-ball-of-flesh|slays monster|flesh-and-bones-return-to-parents|lotus-body-resurrection
7371	Brahma	eventTypes	cosmos-creation|Veda-recitation|head-loss|liṅgodbhava confrontation	creation|Veda-recitation|head-loss|liṅgodbhava confrontation
7519	Hunahpu	eventTypes	the-trials-of-Xibalba|the-decapitation-and-restoration|the-defeat-of-the-underworld-lords|the-ascent-to-become-the-sun	the-trials-of-Xibalba|restoration|the-defeat-of-the-underworld-lords|the-ascent-to-become-the-sun
7460	Aesculapius	eventTypes	Asclepius-interpretatio|293-BCE-importation-from-Epidaurus|plague-ending|Tiber-Island-temple-foundation	syncretism|293-BCE-importation-from-Epidaurus|plague-ending|founding
7458	Cupid	eventTypes	Eros-interpretatio|Cupid-and-Psyche-marriage|Dido-disguise	syncretism|marriage|Dido-disguise
7448	Neptune	eventTypes	Poseidon-interpretatio|indigenous-freshwater-origin|Augustan-cult-expansion	syncretism|indigenous-freshwater-origin|Augustan-cult-expansion
7447	Vulcan	eventTypes	Hephaestus-interpretatio|indigenous-Volcanus-origin|Vulcanalia-festival|post-fire-shrine-expansion	syncretism|indigenous-Volcanus-origin|cult|post-fire-shrine-expansion
6632	Erlang Shen	eventTypes	shape-shifting-duel-with-Sun-Wukong|capture-of-Sun-Wukong|flood-control|mountain-splitting-mother-rescue	shape-shifting-duel-with-Sun-Wukong|capture-of-Sun-Wukong|flood-control|rescue
7518	Ix Chel	eventTypes	the-moon-and-childbirth-goddess|the-Cozumel-pilgrimage-cult|the-aged-flood-pouring-aspect	the-moon-and-childbirth-goddess|cult|the-aged-flood-pouring-aspect
7354	Sif	eventTypes	hair-cutting and dwarven re-creation|marriage|motherhood	creation|marriage|motherhood
7228	Norea	eventTypes	the-resistance-to-the-archons|the-rescue-by-the-angel-Eleleth|the-receiving-of-the-Gnostic-revelation	the-resistance-to-the-archons|rescue|the-receiving-of-the-Gnostic-revelation
7484	Xiwangmu	eventTypes	keeping-the-peaches-of-immortality|granting-the-elixir-to-Hou-Yi|hosting-the-peach-banquet|instructing-King-Mu-and-Emperor-Wu	immortality|granting-the-elixir-to-Hou-Yi|hosting-the-peach-banquet|instructing-King-Mu-and-Emperor-Wu
7350	Leviathan	deathTypes	defeated by YHWH (primordial)|eschatological slaying	killed by god|eschatological slaying
7480	Centeotl	eventTypes	young-maize-personification|agricultural-festival-recipient	young-maize-personification|cult
7479	Itzpapalotl	eventTypes	Tzitzimimeh-leadership|cosmic-age-end-threat|women-who-died-in-childbirth-patronage	Tzitzimimeh-leadership|cosmic-age-end-threat|patronage
6689	Cybele	eventTypes	the-Phrygian-Great-Mother-cult|the-myth-of-Attis|the-204-BCE-transfer-to-Rome-as-Magna-Mater	cult|the-myth-of-Attis|the-204-BCE-transfer-to-Rome-as-Magna-Mater
7514	Q'uq'umatz	eventTypes	the-creation-of-the-world-and-of-humanity|one-of-the-Framers-and-Shapers	creation|one-of-the-Framers-and-Shapers
7222	Vajrapani	eventTypes	embodiment-of-the-Buddhas'-power|protector-of-the-Dharma	embodiment-of-the-Buddhas'-power|protection
7370	Vishnu	eventTypes	cosmic preservation|avatar-descent|three-strides|dharma-restoration	cosmic preservation|avatar-descent|three-strides|restoration
7334	Kirta	eventTypes	heroic quest|divine bridal-quest|dynasty-founding|illness-and-restoration|dream-vision	heroic quest|divine bridal-quest|dynasty-founding|restoration|dream-vision
7396	Ravana	deathTypes	slain by Rāma in cosmic battle	killed by hero
