id	name	field	before	after
6396	Amunet	domain	hiddenness, air, the primordial void, the Ogdoad	hiddenness, air, primordial void, the Ogdoad
6401	Idyia	domain	knowledge, sight, the seeing one	knowledge, sight, seeing one
6397	Apesh	domain	strength, the underworld, terror, darkness	strength, underworld, terror, darkness
6399	Dies	domain	daylight, the day, the diurnal cycle	daylight, day, diurnal cycle
7345	Azazel	domain	in Leviticus 16, the wilderness-recipient of the Yom Kippur scapegoat; in 1 Enoch, chief of the Watchers - the fallen angels who taught humanity forbidden arts; the prototype of the corrupting fallen angel	in Leviticus 16, wilderness-recipient of the Yom Kippur scapegoat; in 1 Enoch, chief of the Watchers - the fallen angels who taught humanity forbidden arts; prototype of the corrupting fallen angel
7345	Azazel	object	in 1 Enoch, the metallurgical and military arts he teaches humans; in his judgment, the jagged rocks of Dudael under which he is bound	in 1 Enoch, metallurgical and military arts he teaches humans; in his judgment, jagged rocks of Dudael under which he is bound
7287	Mary	domain	motherhood of Jesus, Theotokos, virginity, intercession, the Magnificat, the most prominent woman in Christian devotion; in Islam, the only woman named in the Quran and one of its most honored figures	motherhood of Jesus, Theotokos, virginity, intercession, the Magnificat, most prominent woman in Christian devotion; in Islam, only woman named in the Quran and one of its most honored figures
7287	Mary	object	the cup of the Annunciation; the lily; the spindle; the rosary; blue mantle	cup of the Annunciation; lily; spindle; rosary; blue mantle
6786	Nerthus	object	the sacred covered cart in which her presence was processed among the tribes; the sacred grove on an island; the lake in which the cart and its attendants were washed	sacred covered cart in which her presence was processed among the tribes; sacred grove on an island; lake in which the cart and its attendants were washed
6878	Glenr	domain	the sun, Sol, the suitor or consort of Sol	sun, Sol, suitor or consort of Sol
7476	Nanahuatzin	domain	'The Pustular One' - the diseased, humble god who threw himself into the cosmic fire at Teotihuacan to become the fifth sun Tonatiuh; the central Aztec narrative of self-sacrificial humility-rewarded	'The Pustular One' - the diseased, humble god who threw himself into the cosmic fire at Teotihuacan to become the fifth sun Tonatiuh; central Aztec narrative of self-sacrificial humility-rewarded
6310	Arsinoe II Philadelphos	domain	queenship, divine femininity, Ptolemaic cult, the sea	queenship, divine femininity, Ptolemaic cult, sea
6309	Khnum	domain	creation, the Nile, pottery, the flood, birth	creation, Nile, pottery, flood, birth
6313	Hung Shing	domain	the sea, weather, fishing, southern China	sea, weather, fishing, southern China
7214	Bedawang Nala	domain	the cosmic turtle, the foundation of the world, the underworld, earthquakes	cosmic turtle, foundation of the world, underworld, earthquakes
6090	Hathor	object	sistrum; menat-necklace; the solar disk between cow-horns on her head; the mirror; the Seven Hathors	sistrum; menat-necklace; solar disk between cow-horns on her head; mirror; the Seven Hathors
6316	Khepri	domain	the rising sun, dawn, transformation, rebirth, creation	rising sun, dawn, transformation, rebirth, creation
6614	Elete	domain	prayer, the afternoon, supplication	prayer, afternoon, supplication
7219	Avalokiteshvara	domain	the bodhisattva of compassion; he who hears the cries of the world; one of the most important bodhisattvas of Mahayana Buddhism	bodhisattva of compassion; he who hears the cries of the world; one of the most important bodhisattvas of Mahayana Buddhism
7219	Avalokiteshvara	object	the lotus; the vase of nectar; the rosary; in the thousand-armed form, an implement in each hand	lotus; vase of nectar; rosary; in the thousand-armed form, an implement in each hand
6634	Zhurong	domain	fire, the south, punishment, craftsmanship, volcano	fire, south, punishment, craftsmanship, volcano
6100	Tiamat	domain	primordial saltwater, the sea, monstrous progeny, primordial motherhood, war, chaos	primordial saltwater, sea, monstrous progeny, primordial motherhood, war, chaos
6100	Tiamat	object	Tablets of Destiny; the eleven monsters	Tablets of Destiny; eleven monsters
6119	Ra	object	solar barque; the Aten; the ankh; the was-scepter	solar barque; the Aten; ankh; was-scepter
7441	Cerberus	domain	the three-headed dog of Hades; guards the gates of the underworld so that the dead cannot leave and the living cannot enter without divine permission	three-headed dog of Hades; guards the gates of the underworld so that the dead cannot leave and the living cannot enter without divine permission
7441	Cerberus	object	his three heads; the chain by which Heracles led him out of Hades	his three heads; chain by which Heracles led him out of Hades
7428	Erebus	domain	primordial darkness; the dark space between earth and Hades through which the dead pass; son of Chaos, mate of Nyx	primordial darkness; dark space between earth and Hades through which the dead pass; son of Chaos, mate of Nyx
