id	name	tradition	value	action	bare	of_whom	duplicated_in	suggested_move_to	reason
6156	Quetzalcoatl	Aztec	son	KEEP					bare kinship term
6156	Quetzalcoatl	Aztec	twin	KEEP					bare kinship term
6140	Dionysus	Greek	son of Zeus and Semele	STRIP_TO_BARE	son	Zeus and Semele			"son of X" pattern
6140	Dionysus	Greek	twice-born (from Semele's incineration, then from Zeus's thigh)	TITLE_MOVE				domain	title not present in any other field
6140	Dionysus	Greek	sometimes counted as the 12th Olympian (replacing Hestia)	TITLE_MOVE				domain	title not present in any other field
6140	Dionysus	Greek	husband of Ariadne (after Theseus abandoned her on Naxos)	STRIP_TO_BARE	husband	Ariadne (after Theseus abandoned her on Naxos)			"husband of X" pattern
7345	Azazel	Abrahamic	chief of the Watchers (in 1 Enoch)	TITLE_MOVE				domain	title not present in any other field
7345	Azazel	Abrahamic	wilderness-demon (in Leviticus tradition)	TITLE_MOVE				domain	title not present in any other field
7402	Apep	Egyptian	cosmic adversary of Ra	TITLE_MOVE				domain	title not present in any other field
7402	Apep	Egyptian	embodiment of isfet	TITLE_MOVE				domain	title not present in any other field
7343	Asmodeus	Abrahamic	demon-king	TITLE_MOVE				character_trait	title not present in any other field
7458	Cupid	Roman	identified with Eros	TITLE_MOVE				domain	title not present in any other field
7458	Cupid	Roman	son of Venus and Mars	STRIP_TO_BARE	son	Venus and Mars			"son of X" pattern
7458	Cupid	Roman	husband of Psyche	STRIP_TO_BARE	husband	Psyche			"husband of X" pattern
6878	Glenr	Norse	husband of Sól	STRIP_TO_BARE	husband	Sól			"husband of X" pattern
7415	Ebisu	Shinto	one of the Seven Lucky Gods	TITLE_MOVE				domain	title not present in any other field
7415	Ebisu	Shinto	identified with Hiruko or Kotoshironushi	TITLE_MOVE				domain	title not present in any other field
7415	Ebisu	Shinto	often paired with Daikokuten	TITLE_MOVE				domain	title not present in any other field
7317	Gilgamesh	Mesopotamian	son	KEEP					bare kinship term
7317	Gilgamesh	Mesopotamian	king	TITLE_DUP			domain		full string already in domain
7317	Gilgamesh	Mesopotamian	companion	TITLE_MOVE				domain	title not present in any other field
7340	God-the-Father	Abrahamic	Father of the Son (eternally begotten)	STRIP_TO_BARE	father	the Son (eternally begotten)			"father of X" pattern
7340	God-the-Father	Abrahamic	Father of believers (adoption)	STRIP_TO_BARE	father	believers (adoption)			"father of X" pattern
6634	Zhurong	Chinese	god of fire and the south	TITLE_DUP			domain		"south" already in domain
6634	Zhurong	Chinese	adversary and victor over Gonggong	TITLE_MOVE				domain	title not present in any other field
7397	Hiranyakashipu	Hindu	demon-king	TITLE_MOVE				character_trait	title not present in any other field
7397	Hiranyakashipu	Hindu	brother of Hiraṇyākṣa	STRIP_TO_BARE	brother	Hiraṇyākṣa			"brother of X" pattern
7397	Hiranyakashipu	Hindu	father of Prahlāda	STRIP_TO_BARE	father	Prahlāda			"father of X" pattern
7397	Hiranyakashipu	Hindu	son of Diti and Kaśyapa	STRIP_TO_BARE	son	Diti and Kaśyapa			"son of X" pattern
7208	Igigi	Mesopotamian	younger gods	TITLE_MOVE				domain	title not present in any other field
7208	Igigi	Mesopotamian	laborers	TITLE_MOVE				domain	title not present in any other field
6100	Tiamat	Mesopotamian	spouse	KEEP					bare kinship term
7483	Laozi	Chinese	semi-legendary founder of philosophical Daoism	TITLE_DUP			domain		"daoism" already in domain
7483	Laozi	Chinese	deified as Taishang Laojun	TITLE_MOVE				domain	title not present in any other field
7483	Laozi	Chinese	identified with Daode Tianzun (third of the Three Pure Ones)	TITLE_MOVE				domain	title not present in any other field
7428	Erebus	Greek	son of Chaos	STRIP_TO_BARE	son	Chaos			"son of X" pattern
7428	Erebus	Greek	mate of Nyx	TITLE_MOVE				domain	title not present in any other field
7428	Erebus	Greek	father of Aether and Hemera	STRIP_TO_BARE	father	Aether and Hemera			"father of X" pattern
7504	Maitreya	Buddhist	the future Buddha	TITLE_MOVE				identification	title not present in any other field
7504	Maitreya	Buddhist	the bodhisattva awaiting his final birth in the Tuṣita heaven	TITLE_MOVE				domain	title not present in any other field
7287	Mary	Abrahamic	wife	KEEP					bare kinship term
