id	name	tradition	value	action	bucket	reason
6156	Quetzalcoatl	Aztec	exile	KEEP	1-2 hyphens	narrow event-type
6156	Quetzalcoatl	Aztec	gift to humanity	KEEP	1-2 hyphens	narrow event-type
6156	Quetzalcoatl	Aztec	creation	KEEP	1-2 hyphens	narrow event-type
6156	Quetzalcoatl	Aztec	descent to underworld	KEEP	1-2 hyphens	narrow event-type
6156	Quetzalcoatl	Aztec	self-sacrifice	KEEP	1-2 hyphens	narrow event-type
6774	Holda	Germanic	the Wild Hunt	KEEP	1-2 hyphens	narrow event-type
6774	Holda	Germanic	seasonal transformation	KEEP	1-2 hyphens	narrow event-type
6774	Holda	Germanic	reward and punishment	KEEP	1-2 hyphens	narrow event-type
6140	Dionysus	Greek	miraculous birth	KEEP	1-2 hyphens	narrow event-type
6140	Dionysus	Greek	descent to underworld	KEEP	1-2 hyphens	narrow event-type
6140	Dionysus	Greek	epiphany	KEEP	1-2 hyphens	narrow event-type
7345	Azazel	Abrahamic	fall	KEEP	1-2 hyphens	narrow event-type
7345	Azazel	Abrahamic	transgressive teaching	KEEP	1-2 hyphens	narrow event-type
7345	Azazel	Abrahamic	imprisonment	KEEP	1-2 hyphens	narrow event-type
7345	Azazel	Abrahamic	eschatological judgment	KEEP	1-2 hyphens	narrow event-type
7402	Apep	Egyptian	nightly-attack-on-the-sun	REJECT	4+ hyphens	too many hyphenated tokens (likely overspecific)
7402	Apep	Egyptian	eternal-defeat-and-reformation	REVIEW	3 hyphens	borderline — manual check
7402	Apep	Egyptian	embodiment-of-chaos	KEEP	1-2 hyphens	narrow event-type
7343	Asmodeus	Abrahamic	serial murder	KEEP	1-2 hyphens	narrow event-type
7343	Asmodeus	Abrahamic	exorcism	KEEP	1-2 hyphens	narrow event-type
7343	Asmodeus	Abrahamic	kingship-substitution (Talmud)	KEEP	1-2 hyphens	narrow event-type
7458	Cupid	Roman	syncretism	KEEP	1-2 hyphens	narrow event-type
7458	Cupid	Roman	marriage	KEEP	1-2 hyphens	narrow event-type
7458	Cupid	Roman	Dido-disguise	KEEP	1-2 hyphens	narrow event-type
7415	Ebisu	Shinto	syncretism	KEEP	1-2 hyphens	narrow event-type
7415	Ebisu	Shinto	patronage	KEEP	1-2 hyphens	narrow event-type
